drug,concentration,model,feature_set,train_fraction_of_pool,n_train,n_test,seed,rmsd,r2,runtime_s
AMP,781.0,Decision tree,bare,0.1,5253,2765,1003,0.6919305301424017,-0.005557817380091867,0.007975917076691985
AMP,781.0,LightGBM,bare,0.1,5253,2765,1003,0.47227382801753065,0.5315429085460328,0.40479258308187127
AMP,781.0,Linear (+ pairwise),pw,0.1,5253,2765,1003,0.4870025723619289,0.501867852766681,0.011812249897047877
AMP,781.0,Lasso (+ pairwise),pw,0.1,5253,2765,1003,0.486340469718178,0.5032213996724857,0.16966616618447006
AMP,781.0,Linear (additive),bare,0.3,15759,2765,1001,0.5577116438996772,0.3467168099583937,0.0019382499158382416
AMP,781.0,Lasso (additive),bare,0.3,15759,2765,1001,0.557704516498985,0.34673350740898257,0.015754542080685496
AMP,781.0,Decision tree,bare,0.3,15759,2765,1001,0.6890782826657708,0.002715233862296218,0.022496874909847975
AMP,781.0,LightGBM,bare,0.3,15759,2765,1001,0.4674464471706364,0.5410706995007766,0.5179879171773791
AMP,781.0,Linear (+ pairwise),pw,0.3,15759,2765,1001,0.4838741475088508,0.5082471358504046,0.03436266700737178
AMP,781.0,Lasso (+ pairwise),pw,0.3,15759,2765,1001,0.48382993534185487,0.5083369958546667,0.36396754113957286
AMP,781.0,Linear (additive),bare,0.3,15759,2765,1002,0.5578872602439051,0.34630532395157,0.002019417006522417
AMP,781.0,Lasso (additive),bare,0.3,15759,2765,1002,0.5579019499536094,0.34627089867559246,0.016171124996617436
AMP,781.0,Decision tree,bare,0.3,15759,2765,1002,0.6799157450538259,0.02906030548808236,0.021590791875496507
AMP,781.0,LightGBM,bare,0.3,15759,2765,1002,0.46888228596405945,0.5382470154979029,0.45398800005204976
AMP,781.0,Linear (+ pairwise),pw,0.3,15759,2765,1002,0.48408210536617086,0.5078243571266257,0.03373570810072124
AMP,781.0,Lasso (+ pairwise),pw,0.3,15759,2765,1002,0.48403469293544443,0.507920762676647,0.3957530839834362
AMP,781.0,Linear (additive),bare,0.3,15759,2765,1003,0.5573264920452548,0.3476188042189352,0.002131332876160741
AMP,781.0,Lasso (additive),bare,0.3,15759,2765,1003,0.5573309443404809,0.3476083808662791,0.017072000075131655
AMP,781.0,Decision tree,bare,0.3,15759,2765,1003,0.6926924919903472,-0.007773700425139474,0.022182124899700284
AMP,781.0,LightGBM,bare,0.3,15759,2765,1003,0.46418696598109643,0.5474485685047419,0.500119874952361
AMP,781.0,Linear (+ pairwise),pw,0.3,15759,2765,1003,0.48210831318809083,0.5118297600429214,0.030896916054189205
AMP,781.0,Lasso (+ pairwise),pw,0.3,15759,2765,1003,0.4819603826539838,0.512129295243027,0.381490166997537
AMP,781.0,Linear (additive),bare,0.5,26266,2765,1001,0.5573030340990928,0.34767372068575464,0.0031827089842408895
AMP,781.0,Lasso (additive),bare,0.5,26266,2765,1001,0.5572985442183863,0.3476842315037423,0.028819457860663533
AMP,781.0,Decision tree,bare,0.5,26266,2765,1001,0.6918186156406092,-0.005232561024744564,0.03601870802231133
AMP,781.0,LightGBM,bare,0.5,26266,2765,1001,0.46517164579492515,0.545526537353445,0.5249992918688804
AMP,781.0,Linear (+ pairwise),pw,0.5,26266,2765,1001,0.4823598349900014,0.5113202584045096,0.04983274987898767
AMP,781.0,Lasso (+ pairwise),pw,0.5,26266,2765,1001,0.4824530539044436,0.5111313596052044,0.5459402080159634
AMP,781.0,Linear (additive),bare,0.5,26266,2765,1002,0.5574668326657803,0.34729021008078775,0.0032464999239891768
AMP,781.0,Lasso (additive),bare,0.5,26266,2765,1002,0.55746707216026,0.34728964925665995,0.017924333922564983
AMP,781.0,Decision tree,bare,0.5,26266,2765,1002,0.6795678109488468,0.030053771513133598,0.0355380829423666
AMP,781.0,LightGBM,bare,0.5,26266,2765,1002,0.46509620709685007,0.5456739328646927,0.5367348748259246
AMP,781.0,Linear (+ pairwise),pw,0.5,26266,2765,1002,0.48257842272824286,0.510877254675753,0.045671874890103936
AMP,781.0,Lasso (+ pairwise),pw,0.5,26266,2765,1002,0.48255414305987565,0.5109264712952274,0.5881444162223488
AMP,781.0,Linear (additive),bare,0.5,26266,2765,1003,0.5570810604938391,0.34819325986076155,0.0031492498237639666
AMP,781.0,Lasso (additive),bare,0.5,26266,2765,1003,0.5570818191412595,0.34819148456494264,0.028943917015567422
AMP,781.0,Decision tree,bare,0.5,26266,2765,1003,0.7047171799565493,-0.04306597261513323,0.036231165984645486
AMP,781.0,LightGBM,bare,0.5,26266,2765,1003,0.4630131982080265,0.5497343659392488,0.5317585000302643
AMP,781.0,Linear (+ pairwise),pw,0.5,26266,2765,1003,0.48200346641823205,0.512042067136026,0.044241667026653886
AMP,781.0,Lasso (+ pairwise),pw,0.5,26266,2765,1003,0.4820176818716543,0.5120132845813861,0.53296570898965
AMP,781.0,Linear (additive),bare,0.7,36772,2765,1001,0.5571840473246136,0.3479522403033153,0.004508540965616703
AMP,781.0,Lasso (additive),bare,0.7,36772,2765,1001,0.5571821081374427,0.34795677898476585,0.032061791978776455
AMP,781.0,Decision tree,bare,0.7,36772,2765,1001,0.6980158874247003,-0.023322857792391405,0.051942416932433844
AMP,781.0,LightGBM,bare,0.7,36772,2765,1001,0.46282238643008183,0.550105406260135,0.5331965838558972
AMP,781.0,Linear (+ pairwise),pw,0.7,36772,2765,1001,0.4824701155540306,0.5110967819282495,0.05520754191093147
AMP,781.0,Lasso (+ pairwise),pw,0.7,36772,2765,1001,0.4824896377245651,0.5110572161819419,0.6543260829057544
AMP,781.0,Linear (additive),bare,0.7,36772,2765,1002,0.5571928003759384,0.34793175352748473,0.004640124971047044
AMP,781.0,Lasso (additive),bare,0.7,36772,2765,1002,0.5571908893751609,0.347936226308857,0.02873000013642013
AMP,781.0,Decision tree,bare,0.7,36772,2765,1002,0.6882688260898377,0.0050568678713075466,0.049448249861598015
AMP,781.0,LightGBM,bare,0.7,36772,2765,1002,0.46370907072960105,0.5483799210263129,0.5285849580541253
AMP,781.0,Linear (+ pairwise),pw,0.7,36772,2765,1002,0.4820177360740184,0.5120131748342289,0.0638496249448508
